Veteran Households with at Least One Adult and One Child,Unsheltered
Total number of households,107
Total number of persons,111
Total number of veterans,107
Female (veterans only),8
Male (veterans only),97
Transgender (veterans only),2
Gender Non-Conforming (veterans only),0
Non-Hispanic/Non-Latino (veterans only),88
Hispanic/Latino (veterans only),17
White (veterans only),63
Black or African-American (veterans only),18
Asian (veterans only),1
American Indian or Alaska Native (veterans only),9
Native Hawaiian or Other Pacific Islander (veterans only),2
Multiple Races (veterans only),10
Total number of persons (Chronically Homeless),65
