District,City,Total Households,Adults Only,Children Only,Adults and Children
1+2,RIVERSIDE,219,216,1,2
1,LAKE ELSINORE,49,49,0,0
1,UNINCORPORATED 1,38,38,0,0
1,RIVERSIDE 1,110,108,1,1
1,WILDOMAR,11,11,0,0
2,JURUPA VALLEY,108,108,0,0
2,UNINCORPORATED 2,35,35,0,0
2,NORCO,10,10,0,0
2,CORONA,64,64,0,0
2,RIVERSIDE 2,109,108,0,1
3,HEMET,63,63,0,0
3,MURRIETA,15,15,0,0
3,TEMECULA,44,44,0,0
3,UNINCORPORATED 3,30,30,0,0
3,SAN JACINTO,40,40,0,0
4,PALM DESERT,14,14,0,0
4,PALM SPRINGS,118,118,0,0
4,CATHEDRAL CITY,51,51,0,0
4,LA QUINTA,8,8,0,0
4,DESERT HOT SPRINGS,42,42,0,0
4,BLYTHE,23,23,0,0
4,INDIAN WELLS,1,1,0,0
4,COACHELLA,45,45,0,0
4,RANCHO MIRAGE,5,5,0,0
4,UNINCORPORATED 4,51,50,1,0
4,INDIO,33,33,0,0
5,MORENO VALLEY,26,26,0,0
5,BEAUMONT,13,13,0,0
5,MENIFEE,8,8,0,0
5,UNINCORPORATED 5,7,7,0,0
5,BANNING,36,36,0,0
5,CALIMESA,12,12,0,0
5,PERRIS,48,48,0,0
