CityName,Adults and Children,Only Adults,Only Children
PALM DESERT,0,14,0
LA QUINTA,0,8,0
NORCO,0,10,0
BEAUMONT,0,13,0
TEMECULA,0,44,0
INDIAN WELLS,0,1,0
BANNING,0,36,0
PERRIS,0,48,0
SAN JACINTO,0,40,0
JURUPA VALLEY,0,108,0
INDIO,0,33,0
CATHEDRAL CITY,0,51,0
MURRIETA,0,15,0
MENIFEE,0,8,0
COACHELLA,0,45,0
CORONA,0,64,0
RANCHO MIRAGE,0,5,0
WILDOMAR,0,11,0
DESERT HOT SPRINGS,0,42,0
BLYTHE,0,23,0
CALIMESA,0,12,0
RIVERSIDE,1,216,2
MORENO VALLEY,0,26,0
PALM SPRINGS,0,118,0
HEMET,0,63,0
UNINCORPORATED,0,160,1
LAKE ELSINORE,0,49,0
