Distict, CityName, Total Count, Interviewed, Observed
 1,RIVERSIDE,238,122,116
1,UNINCORPORATED,45,38,7
1,WILDOMAR,13,11,2
1,LAKE ELSINORE,66,50,16
2,RIVERSIDE,201,116,85
2,JURUPA VALLEY,139,112,27
2,CORONA,164,65,99
2,NORCO,11,10,1
2,UNINCORPORATED,44,37,7
3,HEMET,112,72,40
3,MURRIETA,17,15,2
3,TEMECULA,59,50,9
3,UNINCORPORATED,65,38,27
3,SAN JACINTO,48,44,4
4,PALM DESERT,23,15,8
4,INDIO,52,38,14
4,LA QUINTA,9,9,0
4,PALM SPRINGS,196,123,73
4,DESERT HOT SPRINGS,45,43,2
4,COACHELLA,51,46,5
4,INDIAN WELLS,2,2,0
4,RANCHO MIRAGE,6,5,1
4,UNINCORPORATED,98,56,42
4,BLYTHE,48,23,25
4,CATHEDRAL CITY,82,51,31
5,MORENO VALLEY,38,27,11
5,BEAUMONT,15,13,2
5,MENIFEE,17,9,8
5,UNINCORPORATED,9,9,0
5,BANNING,39,37,2
5,CALIMESA,16,13,3
5,PERRIS,77,51,26
