Veteran Households with at Least One Adult and One Child,Unsheltered
Total number of households,0
Total number of persons,0
Total number of veterans,0
Female (veterans only),0
Male (veterans only),0
Transgender (veterans only),0
Gender Non-Conforming (veterans only),0
Non-Hispanic/Non-Latino (veterans only),0
Hispanic/Latino (veterans only),0
White (veterans only),0
Black or African-American (veterans only),0
Asian (veterans only),0
American Indian or Alaska Native (veterans only),0
Native Hawaiian or Other Pacific Islander (veterans only),0
Multiple Races (veterans only),0
Total number of households (Chronically Homeless),0
Total number of persons (Chronically Homeless),0
